age;temp;food;length_mm;condition;fecundity;tank
66;30;conti;17;conti_30;10;1
66;30;conti;16;conti_30;7;1
66;30;conti;17;conti_30;3;1
66;30;conti;17;conti_30;4;1
89;30;conti;21;conti_30;12;1
89;30;conti;18;conti_30;6;1
108;30;conti;19;conti_30;14;1
108;30;conti;20;conti_30;5;1
109;30;conti;26;conti_30;7;1
109;30;conti;25;conti_30;9;1
111;30;conti;27;conti_30;12;1
114;30;conti;28;conti_30;9;1
115;30;conti;26;conti_30;13;1
115;30;conti;24;conti_30;4;1
144;30;conti;29;conti_30;14;1
144;30;conti;26;conti_30;8;1
144;30;conti;28;conti_30;8;1
146;30;conti;24;conti_30;4;1
146;30;conti;24;conti_30;18;1
146;30;conti;26;conti_30;2;1
146;30;conti;26;conti_30;15;1
156;30;conti;27;conti_30;3;1
156;30;conti;27;conti_30;4;1
159;30;conti;24;conti_30;2;1
159;30;conti;25.5;conti_30;5;1
159;30;conti;28;conti_30;7;1
160;30;conti;28.5;conti_30;5;1
160;30;conti;29.5;conti_30;9;1
160;30;conti;28;conti_30;9;1
160;30;conti;24;conti_30;2;1
160;30;conti;27.5;conti_30;6;1
166;30;conti;24;conti_30;3;1
177;30;conti;30.5;conti_30;7;1
177;30;conti;29;conti_30;10;1
177;30;conti;27;conti_30;2;1
177;30;conti;28;conti_30;10;1
178;30;conti;27;conti_30;4;1
178;30;conti;28;conti_30;4;1
178;30;conti;30;conti_30;3;1
178;30;conti;29;conti_30;6;1
179;30;conti;30;conti_30;10;1
179;30;conti;29;conti_30;14;1
179;30;conti;27;conti_30;13;1
179;30;conti;30;conti_30;7;1
179;30;conti;40;conti_30;NA;1
180;30;conti;29;conti_30;4;1
180;30;conti;29;conti_30;6;1
184;30;conti;30;conti_30;7;1
184;30;conti;31;conti_30;6;1
205;30;conti;32;conti_30;12;1
212;30;conti;30;conti_30;10;1
212;30;conti;31;conti_30;9;1
70;30;conti;17;conti_30;9;2
76;30;conti;18;conti_30;6;2
105;30;conti;27;conti_30;14;2
107;30;conti;27;conti_30;14;2
107;30;conti;30;conti_30;15;2
107;30;conti;27;conti_30;12;2
117;30;conti;27;conti_30;6;2
117;30;conti;26;conti_30;1;2
120;30;conti;30.5;conti_30;8;2
120;30;conti;29;conti_30;8;2
120;30;conti;28;conti_30;9;2
120;30;conti;27;conti_30;9;2
127;30;conti;25;conti_30;11;2
127;30;conti;NA;conti_30;16;2
138;30;conti;31;conti_30;13;2
138;30;conti;32;conti_30;13;2
138;30;conti;32;conti_30;14;2
139;30;conti;28;conti_30;6;2
139;30;conti;33;conti_30;3;2
140;30;conti;32;conti_30;20;2
140;30;conti;30;conti_30;11;2
140;30;conti;29;conti_30;10;2
141;30;conti;29;conti_30;18;2
141;30;conti;32;conti_30;15;2
141;30;conti;28;conti_30;10;2
145;30;conti;28;conti_30;7;2
145;30;conti;32;conti_30;4;2
145;30;conti;29;conti_30;12;2
244;30;conti;40;conti_30;13;2
244;30;conti;38;conti_30;7;2
60;30;inter;17;inter_30;4;4
60;30;inter;16;inter_30;2;4
89;30;inter;25;inter_30;12;4
91;30;inter;19;inter_30;12;4
91;30;inter;22;inter_30;5;4
91;30;inter;24;inter_30;8;4
101;30;inter;22;inter_30;3;4
101;30;inter;28;inter_30;4;4
101;30;inter;25;inter_30;4;4
104;30;inter;26.5;inter_30;6;4
104;30;inter;22;inter_30;8;4
104;30;inter;20.5;inter_30;7;4
105;30;inter;28;inter_30;7;4
105;30;inter;27;inter_30;8;4
105;30;inter;30;inter_30;10;4
105;30;inter;30;inter_30;8;4
122;30;inter;24;inter_30;5;4
122;30;inter;23;inter_30;3;4
