age;temp;food;length_mm;condition;tank
30;30;conti;8;conti_30;1
30;30;conti;9;conti_30;1
30;30;conti;7.5;conti_30;1
30;30;conti;10;conti_30;1
30;30;conti;8;conti_30;1
30;30;conti;7.5;conti_30;1
30;30;conti;8;conti_30;1
30;30;conti;10;conti_30;1
30;30;conti;7.5;conti_30;1
30;30;conti;8;conti_30;1
30;30;conti;8;conti_30;1
30;30;conti;9;conti_30;1
30;30;conti;8;conti_30;1
30;30;conti;7.5;conti_30;1
30;30;conti;9;conti_30;1
45;30;conti;11;conti_30;1
45;30;conti;15;conti_30;1
45;30;conti;13;conti_30;1
45;30;conti;16;conti_30;1
45;30;conti;16;conti_30;1
45;30;conti;11;conti_30;1
45;30;conti;9;conti_30;1
45;30;conti;12;conti_30;1
45;30;conti;14;conti_30;1
45;30;conti;10;conti_30;1
45;30;conti;13;conti_30;1
45;30;conti;11;conti_30;1
45;30;conti;9;conti_30;1
45;30;conti;10;conti_30;1
45;30;conti;9;conti_30;1
60;30;conti;15;conti_30;1
60;30;conti;16;conti_30;1
60;30;conti;15.5;conti_30;1
60;30;conti;17;conti_30;1
60;30;conti;17;conti_30;1
60;30;conti;18;conti_30;1
60;30;conti;16;conti_30;1
60;30;conti;15.5;conti_30;1
60;30;conti;14;conti_30;1
60;30;conti;13;conti_30;1
60;30;conti;14;conti_30;1
60;30;conti;13;conti_30;1
60;30;conti;16;conti_30;1
60;30;conti;15;conti_30;1
60;30;conti;15.5;conti_30;1
60;30;conti;16;conti_30;1
100;30;conti;22;conti_30;1
100;30;conti;23;conti_30;1
100;30;conti;24;conti_30;1
100;30;conti;25;conti_30;1
100;30;conti;24;conti_30;1
100;30;conti;22;conti_30;1
100;30;conti;22;conti_30;1
100;30;conti;23;conti_30;1
100;30;conti;20;conti_30;1
100;30;conti;21;conti_30;1
100;30;conti;20;conti_30;1
100;30;conti;21;conti_30;1
100;30;conti;25;conti_30;1
100;30;conti;20;conti_30;1
100;30;conti;21;conti_30;1
150;30;conti;26;conti_30;1
150;30;conti;25;conti_30;1
150;30;conti;27;conti_30;1
150;30;conti;28;conti_30;1
150;30;conti;27.5;conti_30;1
150;30;conti;26.5;conti_30;1
150;30;conti;25;conti_30;1
150;30;conti;29;conti_30;1
150;30;conti;29;conti_30;1
150;30;conti;26;conti_30;1
150;30;conti;24;conti_30;1
150;30;conti;29;conti_30;1
150;30;conti;28;conti_30;1
200;30;conti;30;conti_30;1
200;30;conti;30;conti_30;1
200;30;conti;32;conti_30;1
200;30;conti;29;conti_30;1
200;30;conti;28;conti_30;1
200;30;conti;29.5;conti_30;1
200;30;conti;30;conti_30;1
200;30;conti;28;conti_30;1
200;30;conti;27;conti_30;1
200;30;conti;30;conti_30;1
200;30;conti;30;conti_30;1
200;30;conti;29;conti_30;1
200;30;conti;31;conti_30;1
300;30;conti;31;conti_30;1
300;30;conti;32;conti_30;1
300;30;conti;33;conti_30;1
300;30;conti;32;conti_30;1
300;30;conti;31;conti_30;1
300;30;conti;33;conti_30;1
300;30;conti;34;conti_30;1
300;30;conti;30;conti_30;1
300;30;conti;32;conti_30;1
300;30;conti;33;conti_30;1
300;30;conti;32;conti_30;1
350;30;conti;33;conti_30;1
350;30;conti;33;conti_30;1
350;30;conti;32;conti_30;1
350;30;conti;33;conti_30;1
350;30;conti;34;conti_30;1
350;30;conti;33;conti_30;1
350;30;conti;32;conti_30;1
350;30;conti;33;conti_30;1
350;30;conti;32;conti_30;1
350;30;conti;34;conti_30;1
30;30;conti;7;conti_30;2
30;30;conti;10;conti_30;2
30;30;conti;7.5;conti_30;2
30;30;conti;9;conti_30;2
30;30;conti;9;conti_30;2
30;30;conti;7;conti_30;2
30;30;conti;8.5;conti_30;2
30;30;conti;9;conti_30;2
30;30;conti;8;conti_30;2
30;30;conti;8;conti_30;2
30;30;conti;9;conti_30;2
30;30;conti;9;conti_30;2
30;30;conti;9;conti_30;2
30;30;conti;6;conti_30;2
30;30;conti;9;conti_30;2
45;30;conti;16;conti_30;2
45;30;conti;12;conti_30;2
45;30;conti;13;conti_30;2
45;30;conti;11;conti_30;2
45;30;conti;11;conti_30;2
45;30;conti;11;conti_30;2
45;30;conti;9;conti_30;2
45;30;conti;13;conti_30;2
45;30;conti;14;conti_30;2
45;30;conti;9;conti_30;2
45;30;conti;13;conti_30;2
45;30;conti;12;conti_30;2
45;30;conti;9;conti_30;2
45;30;conti;10;conti_30;2
45;30;conti;10;conti_30;2
45;30;conti;13;conti_30;2
60;30;conti;17.5;conti_30;2
60;30;conti;16;conti_30;2
60;30;conti;17;conti_30;2
60;30;conti;16;conti_30;2
60;30;conti;16;conti_30;2
60;30;conti;16;conti_30;2
60;30;conti;17;conti_30;2
60;30;conti;14;conti_30;2
60;30;conti;14.5;conti_30;2
60;30;conti;14.5;conti_30;2
60;30;conti;13;conti_30;2
60;30;conti;16;conti_30;2
100;30;conti;15;conti_30;2
100;30;conti;17;conti_30;2
100;30;conti;16;conti_30;2
100;30;conti;21;conti_30;2
100;30;conti;23;conti_30;2
100;30;conti;24;conti_30;2
100;30;conti;25;conti_30;2
100;30;conti;24;conti_30;2
100;30;conti;21;conti_30;2
100;30;conti;22;conti_30;2
100;30;conti;22;conti_30;2
100;30;conti;21;conti_30;2
100;30;conti;23;conti_30;2
100;30;conti;18;conti_30;2
100;30;conti;21;conti_30;2
150;30;conti;23;conti_30;2
150;30;conti;22;conti_30;2
150;30;conti;21;conti_30;2
150;30;conti;26;conti_30;2
150;30;conti;23;conti_30;2
150;30;conti;27;conti_30;2
150;30;conti;25;conti_30;2
150;30;conti;27.5;conti_30;2
150;30;conti;26.5;conti_30;2
150;30;conti;25;conti_30;2
150;30;conti;29;conti_30;2
150;30;conti;29;conti_30;2
150;30;conti;26;conti_30;2
150;30;conti;24;conti_30;2
200;30;conti;29;conti_30;2
200;30;conti;28;conti_30;2
200;30;conti;30;conti_30;2
200;30;conti;29;conti_30;2
200;30;conti;33;conti_30;2
200;30;conti;29;conti_30;2
200;30;conti;39;conti_30;2
200;30;conti;29.5;conti_30;2
200;30;conti;31;conti_30;2
200;30;conti;28;conti_30;2
200;30;conti;36;conti_30;2
200;30;conti;32;conti_30;2
200;30;conti;29;conti_30;2
200;30;conti;29;conti_30;2
200;30;conti;31;conti_30;2
200;30;conti;31;conti_30;2
200;30;conti;32;conti_30;2
300;30;conti;33;conti_30;2
300;30;conti;32;conti_30;2
300;30;conti;33;conti_30;2
300;30;conti;32;conti_30;2
300;30;conti;34;conti_30;2
300;30;conti;30;conti_30;2
300;30;conti;31;conti_30;2
300;30;conti;33;conti_30;2
300;30;conti;32;conti_30;2
300;30;conti;33;conti_30;2
300;30;conti;33;conti_30;2
300;30;conti;31;conti_30;2
300;30;conti;33;conti_30;2
300;30;conti;31;conti_30;2
350;30;conti;33;conti_30;2
350;30;conti;32;conti_30;2
350;30;conti;31;conti_30;2
350;30;conti;34;conti_30;2
350;30;conti;34;conti_30;2
350;30;conti;35;conti_30;2
350;30;conti;32;conti_30;2
350;30;conti;32;conti_30;2
350;30;conti;33;conti_30;2
350;30;conti;33;conti_30;2
30;30;conti;7;conti_30;3
30;30;conti;9;conti_30;3
30;30;conti;7;conti_30;3
30;30;conti;8.5;conti_30;3
30;30;conti;9;conti_30;3
30;30;conti;10;conti_30;3
30;30;conti;8.5;conti_30;3
30;30;conti;9;conti_30;3
30;30;conti;10;conti_30;3
30;30;conti;7;conti_30;3
30;30;conti;9;conti_30;3
30;30;conti;9;conti_30;3
30;30;conti;9;conti_30;3
30;30;conti;6;conti_30;3
30;30;conti;9;conti_30;3
45;30;conti;16;conti_30;3
45;30;conti;12;conti_30;3
45;30;conti;13;conti_30;3
45;30;conti;11;conti_30;3
45;30;conti;10;conti_30;3
45;30;conti;11;conti_30;3
45;30;conti;10;conti_30;3
45;30;conti;12;conti_30;3
45;30;conti;14;conti_30;3
45;30;conti;11;conti_30;3
45;30;conti;13;conti_30;3
45;30;conti;15;conti_30;3
45;30;conti;9;conti_30;3
45;30;conti;11;conti_30;3
45;30;conti;10;conti_30;3
45;30;conti;12;conti_30;3
60;30;conti;18;conti_30;3
60;30;conti;15;conti_30;3
60;30;conti;13;conti_30;3
60;30;conti;16;conti_30;3
60;30;conti;18;conti_30;3
60;30;conti;16;conti_30;3
60;30;conti;17;conti_30;3
60;30;conti;14;conti_30;3
60;30;conti;15;conti_30;3
60;30;conti;16.5;conti_30;3
60;30;conti;13;conti_30;3
60;30;conti;16;conti_30;3
100;30;conti;15;conti_30;3
100;30;conti;21;conti_30;3
100;30;conti;16;conti_30;3
100;30;conti;21;conti_30;3
100;30;conti;23;conti_30;3
100;30;conti;24;conti_30;3
100;30;conti;23;conti_30;3
100;30;conti;23;conti_30;3
100;30;conti;21;conti_30;3
100;30;conti;22;conti_30;3
100;30;conti;21;conti_30;3
100;30;conti;21;conti_30;3
100;30;conti;23;conti_30;3
100;30;conti;20;conti_30;3
100;30;conti;21;conti_30;3
150;30;conti;23;conti_30;3
150;30;conti;22;conti_30;3
150;30;conti;21;conti_30;3
150;30;conti;26;conti_30;3
150;30;conti;24;conti_30;3
150;30;conti;27;conti_30;3
150;30;conti;25;conti_30;3
150;30;conti;27;conti_30;3
150;30;conti;27;conti_30;3
150;30;conti;24;conti_30;3
150;30;conti;25;conti_30;3
150;30;conti;29;conti_30;3
150;30;conti;26;conti_30;3
150;30;conti;24;conti_30;3
200;30;conti;27;conti_30;3
200;30;conti;28;conti_30;3
200;30;conti;30;conti_30;3
200;30;conti;29;conti_30;3
200;30;conti;34;conti_30;3
200;30;conti;29;conti_30;3
200;30;conti;39;conti_30;3
200;30;conti;30;conti_30;3
200;30;conti;32;conti_30;3
200;30;conti;28;conti_30;3
200;30;conti;35;conti_30;3
200;30;conti;32;conti_30;3
200;30;conti;29;conti_30;3
200;30;conti;30;conti_30;3
200;30;conti;31;conti_30;3
200;30;conti;31;conti_30;3
200;30;conti;32;conti_30;3
300;30;conti;33;conti_30;3
300;30;conti;32;conti_30;3
300;30;conti;33;conti_30;3
300;30;conti;32;conti_30;3
300;30;conti;34;conti_30;3
300;30;conti;30;conti_30;3
300;30;conti;31;conti_30;3
300;30;conti;33;conti_30;3
300;30;conti;32;conti_30;3
300;30;conti;33;conti_30;3
300;30;conti;33;conti_30;3
300;30;conti;31;conti_30;3
300;30;conti;33;conti_30;3
300;30;conti;31;conti_30;3
350;30;conti;33;conti_30;3
350;30;conti;32;conti_30;3
350;30;conti;31;conti_30;3
350;30;conti;34;conti_30;3
350;30;conti;34;conti_30;3
350;30;conti;35;conti_30;3
350;30;conti;32;conti_30;3
350;30;conti;32;conti_30;3
350;30;conti;33;conti_30;3
350;30;conti;33;conti_30;3
30;30;inter;7;inter_30;4
30;30;inter;8;inter_30;4
30;30;inter;8;inter_30;4
30;30;inter;9;inter_30;4
30;30;inter;9;inter_30;4
30;30;inter;7.5;inter_30;4
30;30;inter;8;inter_30;4
30;30;inter;6;inter_30;4
30;30;inter;9;inter_30;4
30;30;inter;6;inter_30;4
30;30;inter;10;inter_30;4
30;30;inter;9;inter_30;4
30;30;inter;7.5;inter_30;4
30;30;inter;7;inter_30;4
45;30;inter;11;inter_30;4
45;30;inter;13;inter_30;4
45;30;inter;12;inter_30;4
45;30;inter;11;inter_30;4
45;30;inter;12;inter_30;4
45;30;inter;12;inter_30;4
45;30;inter;13;inter_30;4
45;30;inter;14;inter_30;4
45;30;inter;9;inter_30;4
45;30;inter;11;inter_30;4
45;30;inter;11;inter_30;4
45;30;inter;13;inter_30;4
45;30;inter;8;inter_30;4
45;30;inter;8.5;inter_30;4
60;30;inter;14;inter_30;4
60;30;inter;15;inter_30;4
60;30;inter;16;inter_30;4
60;30;inter;14.5;inter_30;4
60;30;inter;16;inter_30;4
60;30;inter;13;inter_30;4
60;30;inter;15;inter_30;4
60;30;inter;14;inter_30;4
60;30;inter;13.5;inter_30;4
60;30;inter;13;inter_30;4
60;30;inter;15;inter_30;4
60;30;inter;14;inter_30;4
60;30;inter;12;inter_30;4
100;30;inter;21;inter_30;4
100;30;inter;19;inter_30;4
100;30;inter;24;inter_30;4
100;30;inter;22;inter_30;4
100;30;inter;23;inter_30;4
100;30;inter;21;inter_30;4
100;30;inter;21;inter_30;4
100;30;inter;20;inter_30;4
100;30;inter;20;inter_30;4
100;30;inter;21;inter_30;4
100;30;inter;16;inter_30;4
100;30;inter;23;inter_30;4
100;30;inter;21;inter_30;4
150;30;inter;25;inter_30;4
150;30;inter;26;inter_30;4
150;30;inter;27;inter_30;4
150;30;inter;25;inter_30;4
150;30;inter;24;inter_30;4
150;30;inter;24;inter_30;4
150;30;inter;26;inter_30;4
150;30;inter;26;inter_30;4
150;30;inter;26;inter_30;4
150;30;inter;27;inter_30;4
150;30;inter;24;inter_30;4
150;30;inter;25;inter_30;4
150;30;inter;25;inter_30;4
150;30;inter;27.5;inter_30;4
150;30;inter;26;inter_30;4
200;30;inter;28;inter_30;4
200;30;inter;28;inter_30;4
200;30;inter;29;inter_30;4
200;30;inter;30;inter_30;4
200;30;inter;29;inter_30;4
200;30;inter;29;inter_30;4
200;30;inter;29;inter_30;4
200;30;inter;28;inter_30;4
200;30;inter;27;inter_30;4
200;30;inter;28;inter_30;4
200;30;inter;29;inter_30;4
200;30;inter;29;inter_30;4
200;30;inter;30;inter_30;4
200;30;inter;29;inter_30;4
200;30;inter;28;inter_30;4
200;30;inter;29;inter_30;4
300;30;inter;32;inter_30;4
300;30;inter;32;inter_30;4
300;30;inter;32;inter_30;4
300;30;inter;34;inter_30;4
300;30;inter;30;inter_30;4
300;30;inter;30;inter_30;4
300;30;inter;29;inter_30;4
300;30;inter;31;inter_30;4
300;30;inter;33;inter_30;4
300;30;inter;33;inter_30;4
300;30;inter;32;inter_30;4
300;30;inter;30;inter_30;4
350;30;inter;32;inter_30;4
350;30;inter;32;inter_30;4
350;30;inter;31;inter_30;4
350;30;inter;34;inter_30;4
350;30;inter;35;inter_30;4
350;30;inter;31;inter_30;4
350;30;inter;31;inter_30;4
350;30;inter;32;inter_30;4
350;30;inter;31;inter_30;4
350;30;inter;34;inter_30;4
350;30;inter;31;inter_30;4
30;30;inter;6;inter_30;5
30;30;inter;7;inter_30;5
